generation,N_shifts,logPrior,logLik,eventRate,acceptRate
452000,0,-0.121464,-0.588019,0.121464,0.561
454000,0,-0.404789,-1.56924,0.404789,0.632
456000,1,1.56383,-3.15153,0.684779,0.5845
458000,0,-0.265812,-1.1458,0.265812,0.6545
460000,1,0.120801,-3.60065,0.172215,0.5965
462000,0,-0.24631,-1.12917,0.24631,0.644
464000,0,-1.09695,-2.29278,1.09695,0.6015
466000,0,-0.72724,-0.446974,0.72724,0.713
468000,3,2.02086,-4.01385,1.82907,0.6515
470000,0,-0.727154,-3.32538,0.727154,0.6005
472000,0,-0.0506553,-0.254913,0.0506553,0.639
474000,0,-0.0587596,-4.11575,0.0587596,0.6115
476000,0,-0.532614,-4.00608,0.532614,0.5995
478000,4,-0.646521,-4.75321,1.60926,0.662
480000,1,-0.349375,-5.23558,1.74351,0.7035
482000,3,2.01129,-5.05776,1.82184,0.6155
484000,0,-0.026702,-1.37349,0.026702,0.6405
486000,0,-0.34613,-1.97219,0.34613,0.604
488000,0,-1.46494,-2.51228,1.46494,0.6475
490000,1,0.434776,-3.54803,1.19105,0.63
492000,0,-0.163555,-3.7346,0.163555,0.5755
494000,2,4.43453,-5.52653,0.345942,0.581
496000,0,-0.764663,-2.01967,0.764663,0.6195
498000,0,-0.634808,-3.26869,0.634808,0.6115
500000,3,3.23079,-2.48912,1.75298,0.7175
502000,0,-0.193879,-2.37418,0.193879,0.617
504000,2,-0.030712,-4.37614,1.76438,0.7295
506000,0,-0.160366,-3.06383,0.160366,0.606
508000,0,-0.355042,-0.727313,0.355042,0.563
510000,0,-0.0462219,-1.77249,0.0462219,0.649
512000,5,-0.377809,-4.8073,2.71479,0.697
514000,1,-1.1763,-5.0897,1.38709,0.718
516000,1,-0.503153,-1.864,1.44206,0.585
518000,1,1.06329,-4.79584,0.360677,0.643
520000,0,-0.182056,-0.477027,0.182056,0.6065
522000,1,0.475569,-2.16866,1.72662,0.6725
524000,0,-0.280798,-2.7453,0.280798,0.6795
526000,3,1.66866,-1.4661,0.566381,0.616
528000,1,0.982462,-2.85566,0.97572,0.6555
530000,1,0.794099,-1.57494,1.3104,0.7425
532000,1,1.37523,-2.4919,0.592756,0.645
534000,0,-0.489961,-1.09471,0.489961,0.624
536000,0,-1.09603,-0.682421,1.09603,0.595
538000,0,-0.558518,-3.1105,0.558518,0.6475
540000,0,-0.228491,-2.06813,0.228491,0.6345
542000,0,-0.0318524,-2.36152,0.0318524,0.6655
544000,1,1.4331,-2.38156,0.156209,0.6175
546000,3,1.61911,-3.508,1.68719,0.6145
548000,0,-1.31931,-2.30559,1.31931,0.605
550000,3,2.37263,-4.44545,1.31938,0.6
552000,2,3.4685,-2.0848,0.268736,0.6915
554000,0,-0.0494838,-0.758431,0.0494838,0.6485
556000,0,-0.425303,-2.12075,0.425303,0.6435
558000,0,-1.05781,-2.66957,1.05781,0.6805
560000,0,-0.414958,-1.66788,0.414958,0.6
562000,0,-1.90411,-1.262,1.90411,0.6535
564000,0,-0.722232,-1.36084,0.722232,0.664
566000,0,-0.808442,-2.44233,0.808442,0.629
568000,1,1.11025,-1.07299,0.976864,0.6315
570000,0,-0.122115,-1.23695,0.122115,0.619
572000,0,-0.186262,-1.97134,0.186262,0.6395
574000,0,-0.38184,-3.35528,0.38184,0.6485
576000,0,-0.118506,-2.5312,0.118506,0.6835
578000,0,-0.0230215,-0.28909,0.0230215,0.5975
580000,0,-0.0647503,-3.43741,0.0647503,0.5715
582000,0,-0.107673,-2.14659,0.107673,0.658
584000,0,-0.204541,-0.194037,0.204541,0.605
586000,1,0.485804,-4.09779,0.64989,0.6405
588000,0,-0.753397,-5.97077,0.753397,0.614
590000,1,-0.320699,-0.911932,2.11917,0.6065
592000,0,-0.0123861,-3.47102,0.0123861,0.5675
594000,0,-0.431463,-0.50128,0.431463,0.593
596000,0,-0.00158184,-0.678976,0.00158184,0.6
598000,0,-0.0537634,-1.97699,0.0537634,0.6745
600000,0,-0.794728,-1.64619,0.794728,0.576
602000,0,-0.418733,-4.77497,0.418733,0.605
604000,0,-0.297284,-2.58202,0.297284,0.5975
606000,0,-0.591756,-1.57385,0.591756,0.6055
608000,0,-0.464371,-1.44855,0.464371,0.601
610000,0,-0.172617,-0.928433,0.172617,0.559
612000,0,-0.0300497,-1.30003,0.0300497,0.6095
614000,0,-0.427104,-0.983417,0.427104,0.663
616000,0,-0.411796,-0.488965,0.411796,0.62
618000,3,2.53991,-4.06196,2.74651,0.6705
620000,0,-0.995307,-1.23348,0.995307,0.7015
622000,2,0.371158,-2.47605,2.20181,0.68
624000,0,-1.01594,-1.61923,1.01594,0.5865
626000,0,-1.33237,-1.26758,1.33237,0.5475
628000,1,0.750374,-3.83934,1.27752,0.578
630000,2,-1.44823,-1.61783,1.54988,0.646
632000,0,-0.846121,-3.48854,0.846121,0.641
634000,0,-1.36198,-1.42658,1.36198,0.6415
636000,0,-0.36386,-3.08211,0.36386,0.655
638000,4,1.17617,-4.02,2.32775,0.652
640000,0,-0.894371,-0.257025,0.894371,0.6065
642000,1,2.36779,-2.94599,0.12879,0.6265
644000,0,-0.995289,-3.02589,0.995289,0.6245
646000,1,-0.892778,-2.30419,0.923394,0.6575
648000,0,-0.899342,-2.49691,0.899342,0.73
650000,4,4.80284,-1.60201,1.93277,0.594
652000,0,-0.100945,-4.37442,0.100945,0.675
654000,1,0.935983,-3.42879,0.447895,0.579
656000,0,-0.219416,-1.94868,0.219416,0.6145
658000,0,-0.0165129,-1.45027,0.0165129,0.624
660000,0,-0.105886,-2.94336,0.105886,0.606
662000,3,-0.46352,-5.28811,2.74959,0.656
664000,0,-0.0154814,-5.27323,0.0154814,0.7295
666000,1,-2.39076,-3.62176,1.22466,0.623
668000,0,-0.221228,-1.61475,0.221228,0.6995
670000,1,0.329575,-4.71275,1.00774,0.6
672000,0,-0.433202,-4.13784,0.433202,0.6915
674000,0,-0.191408,-0.795102,0.191408,0.659
676000,0,-0.723862,-2.26717,0.723862,0.6155
678000,0,-0.348159,-1.59089,0.348159,0.653
680000,0,-0.105566,-2.1933,0.105566,0.645
682000,0,-0.321075,-1.40054,0.321075,0.586
684000,2,0.907933,-3.08601,2.1907,0.649
686000,0,-0.0789471,-2.17354,0.0789471,0.695
688000,1,1.0879,-1.12941,0.772114,0.607
690000,4,4.67931,-2.8418,1.35203,0.661
692000,0,-0.125471,-0.642205,0.125471,0.6255
694000,1,-1.03378,-4.44217,0.560692,0.588
696000,0,-0.0799081,-2.8688,0.0799081,0.6255
698000,0,-0.0877077,-1.91793,0.0877077,0.648
700000,1,0.179742,-2.54328,0.985926,0.7065
702000,1,-0.171125,-4.3288,0.515859,0.584
704000,0,-0.73458,-0.74164,0.73458,0.666
706000,0,-0.00945297,-0.387289,0.00945297,0.6515
708000,0,-0.187477,-2.31663,0.187477,0.6745
710000,2,3.96834,-1.00959,0.761334,0.612
712000,0,-0.223773,-1.32496,0.223773,0.652
714000,0,-0.711565,-0.450483,0.711565,0.575
716000,1,0.720511,-5.23107,1.08136,0.663
718000,1,1.89833,-2.43174,0.119973,0.6775
720000,4,4.3012,-3.6944,2.02213,0.621
722000,0,-0.294248,-2.8022,0.294248,0.6495
724000,0,-0.17871,-0.334826,0.17871,0.628
726000,2,0.679902,-2.65918,1.15879,0.652
728000,1,1.25005,-1.31721,0.345082,0.654
730000,0,-0.167112,-1.16609,0.167112,0.6305
732000,1,1.98536,-1.63194,0.534138,0.617
734000,0,-0.0618742,-0.48138,0.0618742,0.6355
736000,3,0.263132,-3.22022,0.540027,0.6305
738000,1,-0.984811,-2.30303,1.46415,0.6615
740000,0,-0.617831,-2.40994,0.617831,0.616
742000,0,-0.188221,-1.94414,0.188221,0.6015
744000,0,-2.32167,-0.673781,2.32167,0.6285
746000,0,-1.0401,-3.89003,1.0401,0.611
748000,3,-0.287111,-2.43378,2.43588,0.5915
750000,0,-0.0116072,-1.32829,0.0116072,0.6025
752000,0,-0.648432,-0.241068,0.648432,0.578
754000,3,2.16386,-3.26867,1.35511,0.621
756000,0,-1.2197,-0.770871,1.2197,0.6585
758000,1,1.57925,-1.94124,0.585062,0.618
760000,2,0.579795,-2.13744,0.777338,0.603
762000,0,-0.553814,-2.26283,0.553814,0.629
764000,0,-3.20157,-0.403375,3.20157,0.675
766000,0,-1.69452,-1.88384,1.69452,0.626
768000,2,-2.85428,-3.07175,3.17502,0.681
770000,0,-0.434834,-1.13849,0.434834,0.6015
772000,0,-0.211615,-1.01037,0.211615,0.596
774000,1,1.25903,-0.77349,1.15248,0.6175
776000,1,0.935506,-2.83649,0.40034,0.6695
778000,0,-0.279855,-1.71655,0.279855,0.643
780000,0,-0.467325,-1.42833,0.467325,0.5665
782000,0,-0.0697517,-1.28829,0.0697517,0.5995
784000,0,-0.352796,-1.39727,0.352796,0.6615
786000,0,-0.585933,-5.53331,0.585933,0.6605
788000,0,-0.351686,-2.58315,0.351686,0.6355
790000,4,3.06888,-2.35272,3.32711,0.664
792000,4,4.1008,-3.38476,2.02129,0.6925
794000,0,-0.855093,-0.838367,0.855093,0.6285
796000,1,-0.728159,-3.26726,1.35485,0.635
798000,0,-0.446438,-0.789409,0.446438,0.6015
800000,1,0.736852,-3.12935,0.836569,0.6385
802000,0,-0.135891,-1.96531,0.135891,0.5965
804000,0,-0.0378861,-1.37142,0.0378861,0.623
806000,0,-1.83905,-2.02752,1.83905,0.589
808000,1,0.44552,-3.85707,0.952971,0.5815
810000,0,-0.120798,-1.83892,0.120798,0.638
812000,0,-0.0258838,-0.558384,0.0258838,0.7105
814000,0,-0.23593,-1.59508,0.23593,0.6195
816000,0,-0.632082,-0.192489,0.632082,0.645
818000,0,-0.442661,-1.01402,0.442661,0.58
820000,0,-0.0924508,-1.13851,0.0924508,0.6275
822000,3,-1.02153,-2.67972,2.04158,0.6165
824000,0,-0.773884,-3.38788,0.773884,0.6315
826000,0,-0.187479,-1.69967,0.187479,0.5925
828000,1,0.897898,-1.05662,1.29169,0.591
830000,0,-0.529751,-0.407283,0.529751,0.6415
832000,0,-0.85887,-0.46778,0.85887,0.632
834000,1,-0.119545,-0.721567,2.38142,0.683
836000,2,0.908356,-3.98148,1.94034,0.586
838000,1,0.0497585,-1.36655,0.557287,0.627
840000,6,4.08645,-3.13258,3.62832,0.668
842000,1,1.86015,-1.81138,0.317458,0.668
844000,3,2.77938,-1.37388,1.54006,0.6475
846000,0,-1.01257,-1.81421,1.01257,0.63
848000,8,-1.31233,-3.33923,4.14635,0.6435
850000,1,1.34604,-2.4805,0.553645,0.73
852000,0,-0.407532,-2.02599,0.407532,0.639
854000,0,-2.34281,-1.59532,2.34281,0.6375
856000,2,0.789979,-3.00239,1.93714,0.5725
858000,2,2.44037,-4.88652,1.49869,0.6545
860000,0,-0.0555135,-0.185886,0.0555135,0.588
862000,0,-0.17442,-1.6359,0.17442,0.6465
864000,3,1.76046,-3.30205,1.28923,0.6185
866000,1,1.40645,-1.4956,0.337008,0.6555
868000,0,-0.319399,-2.48368,0.319399,0.625
870000,0,-0.141719,-4.06386,0.141719,0.624
872000,1,-0.0679992,-4.6059,0.827698,0.659
874000,1,1.09006,-3.28015,1.21888,0.6105
876000,1,-0.713924,-1.51479,1.74387,0.619
878000,1,0.500931,-1.98406,1.27566,0.634
880000,1,-2.91381,-2.52783,1.19409,0.586
882000,0,-0.0558233,-0.662922,0.0558233,0.689
884000,0,-0.871273,-0.981012,0.871273,0.6715
886000,0,-0.137018,-0.866336,0.137018,0.633
888000,0,-0.0781491,-3.43762,0.0781491,0.5795
890000,0,-0.360004,-0.887792,0.360004,0.669
892000,0,-0.210744,-0.416048,0.210744,0.617
894000,0,-1.29317,-1.12314,1.29317,0.6525
896000,0,-0.483071,-1.20658,0.483071,0.69
898000,0,-0.78027,-1.14321,0.78027,0.6175
900000,0,-0.140495,-2.06678,0.140495,0.645
902000,0,-0.267121,-1.70448,0.267121,0.6755
904000,0,-0.0844689,-1.48532,0.0844689,0.6615
906000,2,0.0785906,-1.53869,3.70968,0.577
908000,0,-0.485293,-1.00008,0.485293,0.705
910000,1,-2.08639,-4.70489,0.430706,0.6495
912000,2,1.75598,-1.2001,0.732595,0.633
914000,0,-0.324606,-2.17805,0.324606,0.666
916000,0,-0.0770236,-0.392666,0.0770236,0.6045
918000,0,-0.000267118,-2.17925,0.000267118,0.6045
920000,0,-0.188582,-0.287453,0.188582,0.656
922000,0,-0.410616,-3.34385,0.410616,0.597
924000,0,-0.754552,-1.69302,0.754552,0.6095
926000,0,-0.403742,-1.29739,0.403742,0.598
928000,0,-0.814246,-0.998974,0.814246,0.669
930000,0,-0.287184,-4.97555,0.287184,0.6175
932000,1,-2.39664,-2.77101,2.20797,0.6735
934000,1,0.0661695,-1.7473,0.989104,0.629
936000,0,-0.601965,-3.37174,0.601965,0.6285
938000,1,0.913591,-1.58504,1.56804,0.6475
940000,0,-0.622461,-2.94355,0.622461,0.6725
942000,2,0.727892,-2.55322,2.0353,0.6545
944000,0,-0.34082,-1.56797,0.34082,0.6
946000,1,0.780272,-3.26189,0.362795,0.593
948000,2,-3.9849,-3.40921,2.53962,0.6155
950000,0,-0.741659,-0.832952,0.741659,0.6665
952000,0,-0.00353993,-0.361558,0.00353993,0.618
954000,1,1.85526,-1.43739,0.415019,0.6385
956000,0,-0.0539301,-2.53337,0.0539301,0.5785
958000,0,-0.114685,-1.13739,0.114685,0.593
960000,0,-0.12412,-0.99325,0.12412,0.6215
962000,0,-1.07237,-1.5762,1.07237,0.641
964000,0,-0.355378,-2.2959,0.355378,0.5665
966000,0,-0.381929,-2.86271,0.381929,0.62
968000,4,-4.26332,-4.31498,1.90318,0.6565
970000,0,-0.0415868,-1.18223,0.0415868,0.59
972000,0,-0.182968,-0.937381,0.182968,0.612
974000,0,-0.433301,-2.27327,0.433301,0.6425
976000,7,4.32747,-3.79213,2.89911,0.6945
978000,0,-0.739095,-0.587961,0.739095,0.659
980000,0,-2.09719,-3.7644,2.09719,0.625
982000,0,-0.339605,-0.925952,0.339605,0.6
984000,0,-1.49105,-0.335433,1.49105,0.6265
986000,0,-0.700213,-1.1946,0.700213,0.6105
988000,0,-0.603494,-0.750943,0.603494,0.6405
990000,0,-1.79169,-2.23116,1.79169,0.597
992000,1,-0.574585,-1.70046,1.83243,0.5875
994000,2,-0.0468675,-4.03683,1.31289,0.727
996000,2,-6.09275,-4.92734,3.58596,0.6555
998000,0,-0.115408,-0.283811,0.115408,0.6835
1000000,0,-0.088945,-0.854839,0.088945,0.6145
1002000,0,-0.353202,-2.53513,0.353202,0.642
1004000,0,-0.493894,-2.43627,0.493894,0.639
1006000,1,1.43613,-0.7021,0.297202,0.6865
1008000,2,1.99426,-3.1872,2.16565,0.6585
1010000,0,-0.944114,-1.52898,0.944114,0.6835
1012000,0,-0.311559,-1.44806,0.311559,0.6315
1014000,0,-0.335241,-1.86162,0.335241,0.6015
1016000,0,-0.142291,-2.72051,0.142291,0.63
1018000,0,-0.178529,-0.759168,0.178529,0.66
1020000,0,-0.19603,-1.12293,0.19603,0.664
1022000,0,-0.242635,-2.25084,0.242635,0.585
1024000,0,-0.463977,-3.77153,0.463977,0.602
1026000,1,0.764777,-4.06868,0.385374,0.618
1028000,1,1.89532,-2.91557,0.442168,0.6245
1030000,1,1.5009,-1.51495,1.108,0.66
1032000,0,-0.341166,-1.15603,0.341166,0.6425
1034000,0,-0.753527,-0.347798,0.753527,0.588
1036000,0,-0.141159,-2.80151,0.141159,0.676
1038000,0,-0.927865,-1.41294,0.927865,0.6485
1040000,0,-0.660741,-0.381976,0.660741,0.5725
1042000,0,-0.453896,-0.530891,0.453896,0.629
1044000,0,-0.421143,-3.32212,0.421143,0.603
1046000,1,-3.01129,-2.32348,3.2724,0.6295
1048000,0,-0.839604,-5.19268,0.839604,0.6475
